"from","to","weight"
"Mr Hi","Actor 2",4
"Mr Hi","Actor 3",5
"Mr Hi","Actor 4",3
"Mr Hi","Actor 5",3
"Mr Hi","Actor 6",3
"Mr Hi","Actor 7",3
"Mr Hi","Actor 8",2
"Mr Hi","Actor 9",2
"Mr Hi","Actor 11",2
"Mr Hi","Actor 12",3
"Mr Hi","Actor 13",1
"Mr Hi","Actor 14",3
"Mr Hi","Actor 18",2
"Mr Hi","Actor 20",2
"Mr Hi","Actor 22",2
"Mr Hi","Actor 32",2
"Actor 2","Actor 3",6
"Actor 2","Actor 4",3
"Actor 2","Actor 8",4
"Actor 2","Actor 14",5
"Actor 2","Actor 18",1
"Actor 2","Actor 20",2
"Actor 2","Actor 22",2
"Actor 2","Actor 31",2
"Actor 3","Actor 4",3
"Actor 3","Actor 8",4
"Actor 3","Actor 9",5
"Actor 3","Actor 10",1
"Actor 3","Actor 14",3
"Actor 3","Actor 28",2
"Actor 3","Actor 29",2
"Actor 3","Actor 33",2
"Actor 4","Actor 8",3
"Actor 4","Actor 13",3
"Actor 4","Actor 14",3
"Actor 5","Actor 7",2
"Actor 5","Actor 11",3
"Actor 6","Actor 7",5
"Actor 6","Actor 11",3
"Actor 6","Actor 17",3
"Actor 7","Actor 17",3
"Actor 9","Actor 31",3
"Actor 9","Actor 33",3
"Actor 9","John A",4
"Actor 10","John A",2
"Actor 14","John A",3
"Actor 15","Actor 33",3
"Actor 15","John A",2
"Actor 16","Actor 33",3
"Actor 16","John A",4
"Actor 19","Actor 33",1
"Actor 19","John A",2
"Actor 20","John A",1
"Actor 21","Actor 33",3
"Actor 21","John A",1
"Actor 23","Actor 33",2
"Actor 23","John A",3
"Actor 24","Actor 26",5
"Actor 24","Actor 28",4
"Actor 24","Actor 30",3
"Actor 24","Actor 33",5
"Actor 24","John A",4
"Actor 25","Actor 26",2
"Actor 25","Actor 28",3
"Actor 25","Actor 32",2
"Actor 26","Actor 32",7
"Actor 27","Actor 30",4
"Actor 27","John A",2
"Actor 28","John A",4
"Actor 29","Actor 32",2
"Actor 29","John A",2
"Actor 30","Actor 33",4
"Actor 30","John A",2
"Actor 31","Actor 33",3
"Actor 31","John A",3
"Actor 32","Actor 33",4
"Actor 32","John A",4
"Actor 33","John A",5
